# wvl	a	b	c	rmse
1832.72000000 0.00191599 0.07838867 0.00000000 0.00000000
1837.71305000 0.00193790 0.08019184 0.00000000 0.00000000
1842.70507000 0.00191899 0.07863428 -0.00000000 0.00000000
1847.69606000 0.00191222 0.07808075 0.00000000 0.00000000
1852.68802000 0.00189337 0.07654882 -0.00000000 0.00000000
1857.67895000 0.00188900 0.07619562 0.00000000 0.00000000
1862.67085000 0.00187100 0.07475089 0.00000000 0.00000000
1867.66172000 0.00189855 0.07696826 0.00000000 0.00000000
1872.65156000 0.00192992 0.07953302 0.00000000 0.00000000
1877.64237000 0.00186882 0.07457666 -0.00000000 0.00000000
1882.63215000 0.00182124 0.07082771 -0.00000000 0.00000000
1887.62190000 0.00180895 0.06987458 0.00000000 0.00000000
1892.61161000 0.00180811 0.06980970 0.00000000 0.00000000
1897.60129000 0.00181893 0.07064826 0.00000000 0.00000000
1902.59094000 0.00184319 0.07254518 0.00000000 0.00000000
1907.57955000 0.00183483 0.07188875 -0.00000000 0.00000000
1912.56813000 0.00181771 0.07055304 -0.00000000 0.00000000
1917.55568000 0.00180440 0.06952398 -0.00000000 0.00000000
1922.54419000 0.00179229 0.06859371 0.00000000 0.00000000
1927.53167000 0.00176749 0.06670834 0.00000000 0.00000000
1932.52011000 0.00174937 0.06534803 -0.00000000 0.00000000
1937.50751000 0.00174248 0.06483434 -0.00000000 0.00000000
1942.49388000 0.00173192 0.06405065 0.00000000 0.00000000
1947.48121000 0.00172167 0.06329465 0.00000000 0.00000000
1952.46751000 0.00171532 0.06282884 0.00000000 0.00000000
1957.45377000 0.00171131 0.06253562 -0.00000000 0.00000000
1962.43999000 0.00170797 0.06229149 -0.00000000 0.00000000
1967.42517000 0.00170332 0.06195311 -0.00000000 0.00000000
1972.41031000 0.00169905 0.06164266 0.00000000 0.00000000
1977.39542000 0.00169336 0.06123032 0.00000000 0.00000000
1982.38048000 0.00168707 0.06077659 -0.00000000 0.00000000
1987.36551000 0.00168228 0.06043163 -0.00000000 0.00000000
