wl_22c,k_22c,wl_minus8c,k_minus8c,wl_minus25c,k_minus25c,wl_minus7c,k_minus7c,wl_25c_H,k_25c_H,wl_20c,k_20c,wl_25c_S,k_25c_S,Index
796.2,1.48e-7,,,,,2250,2.03000E-04,,,772,1.6525700E-07,1520.54750,1.74096540E-04,122
797.4,1.47e-7,,,,,2260,2.14000E-04,,,773,1.6485600E-07,1531.08750,1.60247090E-04,123
798.7,1.45e-7,,,,,2270,2.32000E-04,,,774,1.6383700E-07,1541.70050,1.44141870E-04,124
800.0,1.43e-7,,,,,2290,2.89000E-04,,,775,1.6343200E-07,1548.81660,1.34831120E-04,125
801.3,1.43e-7,,,,,2310,3.81000E-04,,,776,1.6240800E-07,1559.55250,1.23962450E-04,126
802.6,1.42e-7,,,,,2330,4.62000E-04,,,777,1.6199900E-07,1570.36280,1.14022390E-04,127
803.9,1.41e-7,,,,,2350,5.48000E-04,,,778,1.6096900E-07,1581.24800,1.07075510E-04,128
805.2,1.41e-7,,,,,2370,6.18000E-04,,,779,1.6055600E-07,1588.54680,9.94008600E-05,129
806.5,1.41e-7,,,,,2390,6.80000E-04,,,780,1.5952100E-07,1599.55800,9.34738530E-05,130
807.8,1.40e-7,,,,,2410,7.30000E-04,,,781,1.5848300E-07,1610.64560,8.80420490E-05,131
809.1,1.41e-7,,,,,2430,7.82000E-04,,,782,1.5744100E-07,1621.81010,8.30979180E-05,132
810.4,1.41e-7,,,,,2460,8.48000E-04,,,783,1.5639600E-07,1629.29600,8.09636620E-05,133
811.7,1.42e-7,,,,,2500,9.25000E-04,,,784,1.5534800E-07,1640.58980,7.90296650E-05,134
813.0,1.43e-7,,,,,,,,,785,1.5429700E-07,1648.16240,7.59084530E-05,135
814.3,1.44e-7,,,,,,,,,786,1.5324200E-07,1659.58690,7.39758810E-05,136
815.7,1.46e-7,,,,,,,,,787,1.5218500E-07,1671.09060,7.40440460E-05,137
817.0,1.48e-7,,,,,,,,,788,1.5049700E-07,1678.80400,7.49531940E-05,138
818.3,1.50e-7,,,,,,,,,789,1.4943200E-07,1690.44090,7.60133970E-05,139
819.7,1.52e-7,,,,,,,,,790,1.4836400E-07,1698.24360,7.74265920E-05,140
821.0,1.56e-7,,,,,,,,,791,1.4729300E-07,1710.01530,8.04989370E-05,141
822.4,1.60e-7,,,,,,,,,792,1.4621900E-07,1721.86860,8.40988670E-05,142
823.7,1.65e-7,,,,,,,,,793,1.4451000E-07,1729.81640,8.90000280E-05,143
825.1,1.72e-7,,,,,,,,,794,1.4342900E-07,1741.80690,9.51021080E-05,144
826.4,1.82e-7,,,,,,,,,795,1.4234400E-07,1749.84670,9.99977300E-05,145
827.8,1.92e-7,,,,,,,,,796,1.4125600E-07,1761.97600,1.05121160E-04,146
829.2,2.05e-7,,,,,,,,,797,1.4016500E-07,1770.10900,1.12018600E-04,147
830.6,2.18e-7,,,,,,,,,798,1.3907100E-07,1778.27940,1.21868130E-04,148
831.9,2.29e-7,,,,,,,,,799,1.3797400E-07,1790.60590,1.33042420E-04,149
833.3,2.39e-7,,,,,,,,,800,1.3751000E-07,1798.87090,1.35922120E-04,150
834.7,2.46e-7,,,,,,,,,801,1.3640700E-07,1811.34010,1.37116630E-04,151
836.1,2.52e-7,,,,,,,,,802,1.3593900E-07,1819.70090,1.37971740E-04,152
837.5,2.57e-7,,,,,,,,,803,1.3547000E-07,1828.10020,1.41837200E-04,153
838.9,2.61e-7,,,,,,,,,804,1.3499800E-07,1840.77200,1.55163710E-04,154
840.3,2.64e-7,,,,,,,,,805,1.3452600E-07,1849.26860,1.86118760E-04,155
841.8,2.68e-7,,,,,,,,,806,1.3405100E-07,1862.08710,3.20472040E-04,156
843.2,2.71e-7,,,,,,,,,807,1.3421800E-07,1870.68210,5.20942920E-04,157
844.6,2.74e-7,,,,,,,,,808,1.3438400E-07,1879.31680,7.22420640E-04,158
846.0,2.77e-7,,,,,,,,,809,1.3455000E-07,1887.99140,9.22125740E-04,159
